source_shard,source_row_id,assigned_split,source_group_hash,feature_fingerprint,group_has_prior_used_row,fingerprint_seen_in_prior_used_rows,unused_reason,eligible_untouched_holdout
0,21004,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,1a7787060c2ef827f4f0757c8e1ea90c4b3025bad1bc7ac5119b885c40e5a3ac,true,true,source_group_already_used,false
0,21721,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,147a9c0076631b4ba1af4efc00865d9f7f9f18e0117eadfe8e3d403e149e5a03,true,true,source_group_already_used,false
0,21725,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,21f092b982d0ce0c962fdce4fc49d39f66aeb928014c0c520a30834db22cb95c,true,true,source_group_already_used,false
0,22164,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,49f6883bee5a0accbe9b0c3d73e17e562e88a0b5c10f1e320a4eb5cb0a726088,true,true,source_group_already_used,false
0,23306,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,724d9df41b424297b3f4f67585a61bdef5ea88dc0f7f9da108cbc6c00febafcd,true,true,source_group_already_used,false
0,23536,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,b4206ee2bce36176fcdf13c91662fedf98089833d1373aed09dfae5c822e351a,true,true,source_group_already_used,false
0,23609,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,147a9c0076631b4ba1af4efc00865d9f7f9f18e0117eadfe8e3d403e149e5a03,true,true,source_group_already_used,false
0,27499,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,13bbcfca835eb3f99893f604958c906cceb64d3db0163d670c678c89baa57896,true,true,source_group_already_used,false
0,27501,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,5421f532a15de4fb3f3f09909fb1a8eece5d133400974631571b2bdb660e020c,true,true,source_group_already_used,false
0,27507,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,a19a69ce3cb31e424ada4a8c3b9175c9102671a9a02b15ef9969d2519f6a65ef,true,true,source_group_already_used,false
0,27510,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,83f0cafd6e308437bfd6837ef50e030ded040bd2c952ebc3672c75df3e42ab50,true,true,source_group_already_used,false
0,27514,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,d74e08ebc5eb0aeb2957720d325ad3d7c8c87262e21555825f0fa496936143d0,true,true,source_group_already_used,false
0,27515,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,a92df894e24c4ebe50c3d15ba3d987f88b7477933f81fe67bfe56b7b234e3550,true,true,source_group_already_used,false
0,27595,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,83f0cafd6e308437bfd6837ef50e030ded040bd2c952ebc3672c75df3e42ab50,true,true,source_group_already_used,false
0,27610,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,0b25458a2a24d49f05d10b82ed68645efe8f9782cc74593d03aead78a8d359c6,true,true,source_group_already_used,false
0,27616,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,fd20069a6b507b8d2bd4f1d0fd310a0e40969d796a2c6db2a8ea54a98d4a3670,true,true,source_group_already_used,false
0,27659,test,ad5721285efa2d15406c5bea0badf3239550716f138fa006df1e875c258c8ed2,7d557fab5aa0a1f6c5f126544080a762528b1b4ab512a8c23e3a66834cc8ba11,true,true,source_group_already_used,false
0,27685,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,b3e014358236bc83f13e8ee5c47e7ef7782584e3375f304cc1c8a89254f514a8,true,true,source_group_already_used,false
0,27699,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,feccd3dc6ec14f67b3813d57b72606aaf4dc9046040ce10b84e045492ff84a7b,true,true,source_group_already_used,false
0,27775,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,3071c4ab1eea1e4a971c8484c80c7e3a52461c0bb0977867a987aecbe12b5659,true,true,source_group_already_used,false
0,27866,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,76dbaacbed2a996a1f525868a208ec75320510aadbab4402ba4c5f53f1320fb7,true,true,source_group_already_used,false
0,28121,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,d7d4814683a4844d73b46ceff67afff9bf7a37c3ba0f9ea50866d007bd967ed9,true,true,source_group_already_used,false
0,28124,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,2c7a6786be5c2b47cf9f57c2abd6543cc62f1c0595e6676ce618d8f5a7b18df9,true,true,source_group_already_used,false
0,28138,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,d0b57342857772591d50c2459721ab2e9580f57ff9e4e0212edb9931d878868d,true,true,source_group_already_used,false
0,28156,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,402ab10e66a2917d8863463d330469bd8dda8870c74ea0be6ac74facf0f24429,true,true,source_group_already_used,false
0,28170,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,267b54e552e2563c098af0f145eff393fd525bfc2a08021c0d45e2dc3a7b1b3c,true,true,source_group_already_used,false
0,28186,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,9874ddd5a4b906e654948cc31d3b8d819c6c744a5b457c4edbcf2bbaf318ff0a,true,true,source_group_already_used,false
0,28627,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,9e543656b42b6b0f01ddd30b38cd492be9edf1b8455fc1e58777799f0a9c2baa,true,true,source_group_already_used,false
0,28636,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,fef840f66b90fa230b771297c728118292b2816165a7a87e426da7730084700b,true,true,source_group_already_used,false
0,28641,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,ee5f217560eb09bb75cfddccaaa19ca4a5339393f7dbab33af2854e76fb2b956,true,true,source_group_already_used,false
0,28643,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,e374beec5398f4570f341bc3fbb3d662465f39f51d4996929aebe3d86d5e8305,true,true,source_group_already_used,false
0,28644,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,c94713c1ff7444ea538dae326ce21b9e44bd640e49a20dfb86ddf38b7cc9f862,true,true,source_group_already_used,false
0,28645,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,f3b75fbafae5f395351e1ce03f701944e27763430abf14ebb969cfe14944139d,true,true,source_group_already_used,false
0,28648,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,00d551a14c91cbf261677649e23806f88731a574764907c3cdae02b01820380f,true,true,source_group_already_used,false
0,28655,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,a19a69ce3cb31e424ada4a8c3b9175c9102671a9a02b15ef9969d2519f6a65ef,true,true,source_group_already_used,false
0,28668,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,a03398bb9bd3b4f80c5e7dc280490dc2fa96e4df5c9821348d9320e23f5bb207,true,true,source_group_already_used,false
0,28678,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,00d551a14c91cbf261677649e23806f88731a574764907c3cdae02b01820380f,true,true,source_group_already_used,false
0,28690,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,12102e31b435f0b4121b23229ff8fd5199e9aa136b17ed13d0c4d1ed58360611,true,true,source_group_already_used,false
0,28693,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,656048c7183c0f752a7accfdd453204525f7629b281c5cd7d21db2a3df009636,true,true,source_group_already_used,false
0,28728,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,d74e08ebc5eb0aeb2957720d325ad3d7c8c87262e21555825f0fa496936143d0,true,true,source_group_already_used,false
0,28729,validation,f080e20ea1cd049a90522dce376352019b75c840a6082f1dd42f1961b31f9bf7,54ef5780d742aa4ae79a811b2a8d7f9b226468d1e24f8ff013792ca849bb1e3d,true,true,source_group_already_used,false
